구,총인구,내국인-계,외국인-계
종로구,157967,145911,12056
중구,129797,117809,11988
용산구,226938,207812,19126
성동구,306796,295489,11307
광진구,362304,342575,19729
동대문구,358141,338293,19848
중랑구,391668,385082,6586
성북구,438734,424211,14523
강북구,309138,304191,4947
도봉구,328243,325292,2951
노원구,534096,528268,5828
은평구,462552,456582,5970
서대문구,318874,304508,14366
마포구,368181,355405,12776
양천구,445591,439910,5681
강서구,578539,569360,9179
구로구,433765,388079,45686
금천구,249344,221820,27524
영등포구,395286,346135,49151
동작구,397980,380659,17321
관악구,510303,484885,25418
서초구,409491,402348,7143
강남구,507810,498996,8814
송파구,638167,628044,10123
강동구,414231,407847,6384
