구,총인구,내국인-계,외국인-계
종로구,154969,141810,13159
중구,130957,118398,12559
용산구,227181,206678,20503
성동구,299688,287914,11774
광진구,359766,338841,20925
동대문구,355094,334045,21049
중랑구,386331,379240,7091
성북구,445327,429775,15552
강북구,303871,298525,5346
도봉구,323543,320223,3320
노원구,522480,516201,6279
은평구,461530,455140,6390
서대문구,319394,303075,16319
마포구,369327,355020,14307
양천구,440354,434133,6221
강서구,574097,565054,9043
구로구,435560,389524,46036
금천구,249747,222193,27554
영등포구,394083,345903,48180
동작구,400368,382396,17972
관악구,507828,482476,25352
서초구,404960,397025,7935
강남구,509199,499474,9725
송파구,648600,637683,10917
강동구,415287,408618,6669
