구,총인구,내국인-계,외국인-계
종로구,151291,139718,11573
중구,128744,117252,11492
용산구,225882,208602,17280
성동구,291918,281266,10652
광진구,353967,333985,19982
동대문구,351057,331833,19224
중랑구,385663,378258,7405
성북구,438833,425295,13538
강북구,299535,294351,5184
도봉구,315979,312852,3127
노원구,511982,506237,5745
은평구,463102,456902,6200
서대문구,317209,302902,14307
마포구,365612,352890,12722
양천구,439068,433221,5847
강서구,564854,555952,8902
구로구,435442,389832,45610
금천구,249419,222303,27116
영등포구,403619,356649,46970
동작구,392772,376840,15932
관악구,502641,478545,24096
서초구,401749,394326,7423
강남구,508135,498857,9278
송파구,643288,633026,10262
강동구,444434,437847,6587
