구,총인구,내국인-계,외국인-계
종로구,147512,135107,12405
중구,125257,113309,11948
용산구,219289,203463,15826
성동구,282131,271540,10591
광진구,346519,326453,20066
동대문구,350709,328651,22058
중랑구,379127,372054,7073
성북구,436113,421015,15098
강북구,287788,282191,5597
도봉구,304137,300792,3345
노원구,496423,490547,5876
은평구,454649,449047,5602
서대문구,318308,301315,16993
마포구,362408,349081,13327
양천구,426981,421738,5243
강서구,555999,547558,8441
구로구,424038,380955,43083
금천구,247185,222097,25088
영등포구,401805,359030,42775
동작구,386605,371049,15556
관악구,496743,473671,23072
서초구,383181,376224,6957
강남구,500149,491411,8738
송파구,635758,625987,9771
강동구,448655,442237,6418
