"행정구역별(읍면동)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(읍면동)",주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택
"서울특별시",2793244,355039,88163,217616,49260,1636896,117235,654372,29702,2830857,345269,84680,209333,51256,1641383,116106,699446,28653,2866845,331863,78193,202108,51562,1665922,114352,724932,29776,2894078,322453,73510,197156,51787,1679639,112372,749971,29643,2953964,315566,68114,195448,52004,1720691,110968,777205,29534,3015371,307075,64911,190399,51765,1772670,110562,796066,28998,3068494,299473,62648,185338,51487,1818214,110239,812403,28165,3111323,293489,60861,181399,51229,1851242,110418,828773,27401,3155331,291582,59966,180233,51383,1886515,111038,838895,27301
"종로구",43550,13103,7498,4191,1414,12552,5395,11664,836,43554,12991,7358,4148,1485,12462,5410,11872,819,45787,12920,7268,4032,1620,14507,5451,11978,931,45729,12699,7071,3994,1634,14530,5428,12140,932,46440,12421,6740,4053,1628,15290,5459,12349,921,46859,12259,6572,4070,1617,15688,5460,12540,912,46885,11987,6367,4013,1607,15775,5490,12725,908,46810,11823,6259,3959,1605,15923,5532,12651,881,47025,11620,6095,3931,1594,16300,5544,12695,866
"중구",37478,6436,2722,2600,1114,22186,1975,6148,733,38311,6364,2668,2507,1189,22923,1955,6333,736,39512,6308,2579,2452,1277,23874,1948,6491,891,40177,6209,2513,2425,1271,24417,1944,6719,888,41754,6035,2323,2461,1251,25823,1940,7095,861,42234,5967,2266,2436,1265,26102,1944,7352,869,42319,5865,2218,2388,1259,26327,1896,7370,861,42401,5751,2166,2346,1239,26366,1879,7572,833,44191,5735,2164,2340,1231,28126,1873,7625,832
"용산구",70723,15503,5691,8038,1774,35343,4029,15206,642,70868,15302,5550,7840,1912,35310,3974,15653,629,71356,14993,5465,7693,1835,35648,3985,15988,742,71680,14792,5361,7609,1822,35728,3996,16416,748,72463,14487,5129,7554,1804,36181,3959,17107,729,74542,14064,4941,7359,1764,37676,3969,18124,709,75739,13716,4794,7193,1729,38631,3911,18785,696,77116,13450,4698,7054,1698,39805,3887,19309,665,77734,13370,4666,7010,1694,39806,3921,19978,659
"성동구",82331,11250,2414,7134,1702,59331,2076,8610,1064,80977,11155,2371,7019,1765,57548,2063,9172,1039,86650,11044,2337,6899,1808,62985,2055,9470,1096,87830,10944,2281,6851,1812,63976,2032,9785,1093,91037,10782,2052,6899,1831,67058,2021,10095,1081,91329,10525,1947,6759,1819,67584,1990,10158,1072,91033,9916,1820,6337,1759,68090,1976,10031,1020,90740,9410,1733,5966,1711,68125,2058,10177,970,91252,9345,1719,5930,1696,68191,2017,10735,964
"광진구",79393,17034,809,13455,2770,29880,4434,26561,1484,82691,16566,767,12832,2967,30401,4293,30003,1428,84316,16297,728,12585,2984,30301,4249,31970,1499,85638,16002,678,12292,3032,30425,4152,33565,1494,89132,15786,608,12140,3038,32089,4068,35697,1492,89832,15332,617,11711,3004,32135,4054,36858,1453,91432,15096,613,11478,3005,32571,4119,38226,1420,93555,14901,619,11300,2982,33862,4158,39240,1394,95286,14861,617,11243,3001,35072,4173,39797,1383
"동대문구",98203,20799,6518,11569,2712,59534,3740,12529,1601,96464,20325,6339,11171,2815,57350,3411,13770,1608,97891,19954,6040,10959,2955,58161,3251,14866,1659,100802,19484,5735,10796,2953,60386,3181,16093,1658,104821,18990,5274,10782,2934,64081,3280,16834,1636,103520,17120,4344,9942,2834,65033,3274,16511,1582,104287,16388,4083,9512,2793,66512,3287,16569,1531,106441,16110,3994,9353,2763,68445,3298,17090,1498,110169,16085,3988,9333,2764,71810,3301,17465,1508
"중랑구",99265,21155,2548,15634,2973,50078,4943,21543,1546,102387,20430,2373,14943,3114,50343,4850,25272,1492,103740,19669,2130,14355,3184,51031,4578,26949,1513,105691,19208,1968,13968,3272,51475,4451,29040,1517,107997,18891,1836,13719,3336,52162,4440,30958,1546,112364,18560,1787,13464,3309,55499,4466,32303,1536,114488,17995,1701,12967,3327,56651,4423,33916,1503,118357,17751,1668,12765,3318,59121,4466,35535,1484,119961,17698,1662,12720,3316,59984,4465,36336,1478
"성북구",128046,27180,12933,11311,2936,69725,6518,23097,1526,128502,25928,12131,10855,2942,69981,6376,24748,1469,130766,25457,11662,10682,3113,71571,6321,25902,1515,129994,24207,10847,10257,3103,71754,6097,26446,1490,136437,23156,9995,10112,3049,77457,6044,28315,1465,138621,22520,9622,9897,3001,79206,6262,29213,1420,140138,21661,9240,9476,2945,80967,6230,29900,1380,142602,20892,8819,9157,2916,83701,6146,30510,1353,143240,20848,8772,9148,2928,83728,6362,30957,1345
"강북구",91806,19393,5998,11048,2347,32651,4854,33820,1088,93623,18870,5735,10722,2413,32652,4915,36136,1050,94526,18369,5416,10463,2490,33458,4882,36743,1074,95097,18185,5314,10348,2523,33282,4881,37671,1078,97070,18017,5089,10386,2542,34590,4748,38645,1070,97452,17557,4814,10222,2521,34733,4789,39331,1042,97840,17261,4690,10072,2499,34875,4834,39859,1011,99477,17134,4640,9995,2499,35997,4867,40483,996,100418,17068,4615,9954,2499,36541,4903,40911,995
"도봉구",102443,9404,1748,6078,1578,64082,4242,24014,701,104170,9237,1682,5940,1615,64269,4354,25607,703,104752,9014,1606,5800,1608,64352,4235,26422,729,105526,8903,1533,5737,1633,64580,4176,27138,729,106641,8835,1462,5732,1641,64955,4131,27986,734,107156,8634,1412,5586,1636,65032,4144,28620,726,107959,8449,1327,5485,1637,65305,4201,29289,715,109190,8381,1308,5441,1632,65664,4229,30210,706,109465,8290,1251,5410,1629,65690,4250,30536,699
"노원구",186626,8143,3226,3824,1093,160725,3536,13471,751,189013,7990,3174,3666,1150,162895,3541,13887,700,187025,7081,2429,3491,1161,161701,3508,14025,710,186533,6783,2279,3361,1143,161273,3467,14312,698,187376,6680,2173,3363,1144,161873,3440,14684,699,189213,6619,2132,3332,1155,163502,3448,14948,696,190352,6553,2097,3295,1161,164583,3444,15089,683,192022,6519,2097,3262,1160,166131,3487,15212,673,192926,6356,2034,3175,1147,167100,3530,15272,668
"은평구",140330,18582,6016,9813,2753,50419,6886,63059,1384,142135,17678,5584,9310,2784,50677,6696,65756,1328,143727,16416,5018,8767,2631,52000,6595,67371,1345,144611,16000,4846,8546,2608,52607,6297,68390,1317,148557,15146,4350,8199,2597,57712,5914,68514,1271,150658,14937,4223,8111,2603,59438,5830,69210,1243,156710,14627,4073,7977,2577,64712,5842,70307,1222,160630,14469,4036,7861,2572,67705,5831,71420,1205,165462,14350,3960,7818,2572,72002,5826,72085,1199
"서대문구",92885,15568,4066,9824,1678,45340,5762,25250,965,92788,14981,3863,9327,1791,44866,5727,26294,920,94398,13939,3375,8822,1742,47445,5630,26418,966,94884,13378,3082,8567,1729,48277,5486,26783,960,97616,12958,2828,8394,1736,50747,5477,27489,945,101036,12600,2726,8128,1746,54132,5461,27910,933,102024,12356,2652,7976,1728,55231,5440,28094,903,105047,12239,2605,7910,1724,57952,5457,28507,892,106640,12188,2577,7882,1729,59417,5460,28686,889
"마포구",116135,14302,4311,7767,2224,63071,3683,33508,1571,118456,13685,3955,7328,2402,65418,3604,34232,1517,118355,12607,3433,6733,2441,66349,3464,34356,1579,118619,12225,3205,6598,2422,66582,3227,35003,1582,119298,11854,2964,6473,2417,68111,3165,34577,1591,122311,11618,2855,6332,2431,70307,3142,35643,1601,126005,11171,2679,6095,2397,73836,3127,36364,1507,127057,10720,2500,5848,2372,74959,3080,36850,1448,129421,10626,2458,5794,2374,77146,3026,37175,1448
"양천구",134097,9907,1438,6532,1937,83827,4459,34948,956,137651,9547,1458,6209,1880,85474,4531,37225,874,137056,8370,845,5712,1813,85758,4265,37784,879,137850,7990,699,5515,1776,85921,4225,38855,859,139938,7818,641,5400,1777,87387,4144,39730,859,143769,7698,617,5319,1762,90788,4042,40382,859,145843,7597,600,5237,1760,92278,3954,41185,829,146886,7519,592,5172,1755,92705,3965,41885,812,147619,7517,594,5158,1765,93107,3968,42222,805
"강서구",179045,11671,1504,7998,2169,107304,5306,53569,1195,184422,11310,1459,7614,2237,109403,5218,57345,1146,188176,10895,1365,7399,2131,111037,5134,59950,1160,190525,10697,1326,7247,2124,111811,4966,61900,1151,193551,10456,1251,7056,2149,113076,4853,64018,1148,195383,10260,1230,6882,2148,113767,4794,65426,1136,199556,10060,1201,6710,2149,116965,4752,66670,1109,201611,9717,1126,6449,2142,117945,4751,68125,1073,203887,9651,1112,6403,2136,119305,4814,69041,1076
"구로구",118047,12469,1992,8840,1637,74594,7362,22783,839,120431,12311,1958,8669,1684,75180,7471,24639,830,121684,12008,1831,8504,1673,75540,7405,25884,847,124569,11827,1743,8396,1688,77194,7392,27310,846,129693,11692,1629,8333,1730,81131,7399,28622,849,133012,11474,1563,8163,1748,83459,7388,29852,839,134367,11316,1525,8032,1759,83841,7495,30883,832,137403,11182,1482,7938,1762,86340,7518,31551,812,137863,11083,1455,7862,1766,86368,7631,31973,808
"금천구",57096,9776,556,8167,1053,27342,3937,15549,492,58938,9606,577,7924,1105,27470,3949,17412,501,62314,9410,561,7723,1126,29385,3923,19056,540,65244,9217,528,7546,1143,30918,3872,20696,541,67012,9011,378,7471,1162,30996,3913,22548,544,68804,8807,357,7273,1177,31689,3914,23859,535,71117,8645,348,7110,1187,32995,3954,25002,521,72044,8507,350,6968,1189,33231,3929,25869,508,72901,8486,348,6934,1204,33513,4005,26393,504
"영등포구",96195,17306,3134,11842,2330,65088,1562,11112,1127,97089,16998,3111,11502,2385,65390,1500,12112,1089,99225,15401,2498,10529,2374,68204,1500,12928,1192,99971,14644,2310,9941,2393,68984,1486,13674,1183,101603,14378,2133,9868,2377,69946,1502,14595,1182,107366,14276,2107,9783,2386,74957,1487,15474,1172,110396,14054,2058,9647,2349,77550,1501,16134,1157,112068,13623,1783,9533,2307,79110,1581,16644,1110,114173,13593,1778,9510,2305,80513,1760,17198,1109
"동작구",109362,17113,3984,11175,1954,56969,5475,28726,1079,111438,16283,3783,10546,1954,58232,5368,30489,1066,111548,15626,3398,10278,1950,58320,5236,31283,1083,112032,14889,2972,9908,2009,59188,5152,31713,1090,115075,14661,2658,9947,2056,61596,5161,32557,1100,115615,14522,2565,9863,2094,61606,5289,33103,1095,119534,14362,2522,9716,2124,65242,5209,33669,1052,120374,14058,2465,9468,2125,65921,5157,34212,1026,122058,13829,2356,9325,2148,67675,5061,34474,1019
"관악구",121277,23159,4849,15642,2668,53262,6489,36436,1931,123911,22636,4702,15113,2821,54551,6479,38369,1876,124170,22196,4448,14823,2925,53548,6498,40024,1904,125148,21584,4153,14419,3012,53915,6442,41274,1933,126526,21510,3735,14687,3088,54355,6438,42253,1970,127568,21249,3564,14545,3140,55417,6218,42770,1914,127783,21109,3514,14334,3261,55524,6214,43014,1922,129778,20855,3473,14053,3329,57133,6224,43684,1882,130244,20630,3297,13935,3398,57467,6196,44071,1880
"서초구",125403,6773,1090,4609,1074,90084,5722,21474,1350,129491,6696,1075,4460,1161,92424,5686,23389,1296,128977,6491,1030,4379,1082,91064,5647,24436,1339,132040,6395,984,4323,1088,93299,5592,25426,1328,131777,6331,975,4262,1094,92106,5489,26531,1320,133528,5481,871,3579,1031,94499,5356,26931,1261,135171,5326,831,3472,1023,95298,5286,28062,1199,132706,5187,812,3368,1007,92711,5287,28377,1144,136528,5161,800,3344,1017,96291,5301,28630,1145
"강남구",176654,7437,1060,5010,1367,133127,6106,28122,1862,176135,7470,1029,4924,1517,130924,6186,29789,1766,173282,7334,1004,4825,1505,127206,6149,30806,1787,171431,7283,976,4823,1484,124418,6121,31817,1792,170444,7196,910,4801,1485,122664,5919,32872,1793,173745,6968,839,4669,1460,126023,5827,33190,1737,175536,6500,773,4338,1389,128437,5735,33232,1632,178493,6223,744,4121,1358,131599,5649,33469,1553,184608,6161,743,4055,1363,138025,5645,33229,1548
"송파구",187030,10231,1346,6959,1926,111685,5040,58287,1787,191349,9875,1266,6557,2052,113627,4909,61297,1641,196672,9322,1054,6274,1994,117214,4892,63581,1663,199739,8441,494,5997,1950,119226,4797,65656,1619,208692,8255,446,5860,1949,125800,4899,68133,1605,211578,8072,431,5705,1936,127239,4900,69796,1571,215731,7791,427,5478,1886,131487,4720,70238,1495,220192,7657,420,5365,1872,135070,4766,71257,1442,221082,7621,435,5298,1888,135448,4754,71827,1432
"강동구",119824,11345,712,8556,2077,78697,3704,24886,1192,116063,11035,712,8207,2116,71613,3640,28645,1130,120940,10742,673,7929,2140,75263,3551,30251,1133,122718,10467,612,7692,2163,75473,3512,32149,1117,123014,10220,535,7496,2189,73505,3165,35001,1123,137876,9956,509,7269,2178,87159,3114,36562,1085,146249,9672,495,7000,2177,94531,3199,37790,1057,148323,9411,472,6747,2192,95721,3216,38934,1041,151178,9410,470,6721,2219,97890,3252,39584,1042
